num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
10,10,1.0,0.1,0.01,1000,0.3911939234397732
10,10,1.0,0.1,0.020000000000000004,1000,0.3754397360519229
10,10,1.0,0.1,0.01,5000,0.45446093565031853
10,10,1.0,0.1,0.020000000000000004,500,0.3500956360254525
10,10,1.0,0.1,0.05000000000000001,1000,0.4004648680921714
10,10,1.0,0.1,0.05000000000000001,500,0.34288339933747214
10,10,1.0,0.1,0.01,500,0.3142940921897706
10,10,1.0,0.1,0.030000000000000006,1000,0.38896961030613936
10,10,1.0,0.1,0.04000000000000001,500,0.3499167024783989
10,10,1.0,0.1,0.04000000000000001,1000,0.39365443402801514
10,10,1.0,0.1,0.020000000000000004,5000,0.45743472198308377
10,10,1.0,0.1,0.04000000000000001,5000,0.4664036379434823
10,10,1.0,0.1,0.030000000000000006,500,0.3450277971245083
10,10,1.0,0.1,0.08,500,0.32356340520663973
10,10,1.0,0.1,0.07,500,0.3276086555032115
10,10,1.0,0.1,0.09000000000000001,500,0.3276308567596468
10,10,1.0,0.1,0.06000000000000001,500,0.320870047244632
10,10,1.0,0.1,0.07,1000,0.39856634358115406
10,10,1.0,0.1,0.1,1000,0.3939452378581846
10,10,1.0,0.1,0.08,1000,0.393954370345611
10,10,1.0,0.1,0.030000000000000006,5000,0.4707403251733172
10,10,1.0,0.1,0.07,5000,0.475306675865993
10,10,1.0,0.1,0.06000000000000001,5000,0.4795098680471345
10,10,1.0,0.3111111111111111,0.030000000000000006,1000,0.5061499304910353
10,10,1.0,0.1,0.08,5000,0.4841184848704584
10,10,1.0,0.1,0.09000000000000001,1000,0.40353840121198487
